"","Accipiter_gentilis","Accipiter_nisus","Acrocephalus_arundinaceus","Acrocephalus_palustris","Acrocephalus_scirpaceus","Aegithalos_caudatus","Aix_galericulata","Alauda_arvensis","Anas_platyrhynchos","Anser_anser","Anthus_trivialis","Buteo_buteo","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Certhia_brachydactyla","Certhia_familiaris","Charadrius_dubius","Circus_aeruginosus","Coccothraustes_coccothraustes","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corax","Corvus_corone","Corvus_monedula","Coturnix_coturnix","Cuculus_canorus","Delichon_urbicum","Dendrocopos_major","Dendrocopos_medius","Dendrocopos_minor","Dryocopus_martius","Emberiza_citrinella","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Ficedula_hypoleuca","Fringilla_coelebs","Fulica_atra","Galerida_cristata","Gallinula_chloropus","Garrulus_glandarius","Hippolais_icterina","Hirundo_rustica","Jynx_torquilla","Lanius_collurio","Locustella_fluviatilis","Locustella_luscinioides","Locustella_naevia","Lullula_arborea","Luscinia_megarhynchos","Miliaria_calandra","Motacilla_alba","Motacilla_flava","Muscicapa_striata","Oenanthe_oenanthe","Oriolus_oriolus","Parus_ater","Parus_caeruleus","Parus_cristatus","Parus_major","Parus_palustris","Passer_montanus","Phasianus_colchicus","Phoenicurus_ochruros","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Phylloscopus_trochilus","Pica_pica","Picus_viridis","Podiceps_cristatus","Podiceps_grisegena","Prunella_modularis","Pyrrhula_pyrrhula","Rallus_aquaticus","Regulus_ignicapilla","Regulus_regulus","Saxicola_rubetra","Saxicola_torquatus","Serinus_serinus","Sitta_europaea","Streptopelia_decaocto","Strix_aluco","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_borin","Sylvia_communis","Sylvia_curruca","Sylvia_nisoria","Tachybaptus_ruficollis","Troglodytes_troglodytes","Turdus_merula","Turdus_philomelos"
"BE10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,27,0
"BE11",0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,11,0,0,0,0,0,0,23,0,11,0,0,0,0,8,0,0,0,0,0,9,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,25,0,39,0,5,0,5,7,4,0,1,4,1,0,0,1,0,0,2,0,0,0,5,3,0,0,13,26,0,0,4,0,0,10,37,0
"BE12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,5,0,17,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,10,0,0,0,0,0,4,30,1
"BE13",0,0,3,0,4,2,1,0,0,0,0,1,0,2,2,3,0,0,0,1,0,5,10,0,10,0,0,2,0,10,7,1,1,0,1,14,0,0,30,1,0,0,3,0,10,0,0,0,0,0,0,9,0,1,0,1,0,2,1,19,0,19,2,0,0,0,0,13,1,1,0,1,2,0,0,0,0,1,1,0,0,0,21,0,0,36,28,1,1,0,1,0,14,27,11
"BE14",0,0,0,0,0,2,0,2,0,0,11,1,1,1,6,2,0,0,0,1,0,0,5,1,6,0,0,1,0,4,0,0,0,20,0,10,0,1,18,0,0,0,3,2,0,0,7,0,0,2,0,20,0,2,0,1,0,2,0,18,0,35,0,4,5,1,6,13,0,15,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6,24,5,4,1,1,0,5,54,11
"BE15",0,0,2,5,5,0,0,9,3,4,1,0,1,1,2,4,0,0,1,1,0,0,2,0,1,0,1,1,0,4,0,0,0,8,7,5,0,0,9,7,0,3,1,1,0,1,4,1,2,1,0,3,0,1,3,2,0,3,0,7,0,10,0,2,1,2,2,5,0,1,0,0,9,6,0,0,1,0,0,1,1,0,1,0,0,6,7,0,0,0,0,2,3,13,3
"BE16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,46,0,6,0,7,11,7,0,0,4,0,0,0,1,0,0,4,0,0,0,4,0,0,0,19,14,0,0,7,0,0,6,39,1
"BE17",0,0,0,3,0,0,0,21,0,0,0,0,3,3,6,0,0,0,0,0,0,0,7,0,4,0,0,3,0,0,0,0,0,14,0,0,0,0,2,0,0,0,2,5,0,0,2,0,0,2,0,6,8,0,0,0,0,0,0,4,0,17,0,4,5,0,0,4,0,14,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,10,12,3,23,3,0,0,0,14,5
"BE18",1,0,0,4,0,2,0,1,0,0,0,0,1,1,8,1,0,1,0,0,1,0,13,1,8,0,0,1,2,3,0,0,0,4,1,4,1,0,0,0,0,0,0,1,1,0,2,0,0,2,0,18,0,2,0,1,0,0,0,18,1,28,0,8,1,4,12,9,0,4,5,0,0,0,3,0,0,1,0,0,0,7,0,0,0,17,15,3,0,4,0,0,5,49,1
"BE19",0,0,0,0,2,0,0,0,0,0,0,0,0,4,13,3,0,0,0,1,0,0,15,0,10,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,3,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,15,0,18,0,8,0,6,9,3,0,3,7,1,0,0,1,0,0,0,0,0,0,4,3,6,0,34,7,3,1,4,0,0,2,32,4
"BE2",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,6,0,0,15,0,2,12,1,2,0,0,1,0,36,1,0,2,0,0,35,0,6,71,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,33,5,29,0,0,0,0,0,1,24,0,0,1,0,0,0,0,0,7,0,0,0,0,29,0,2,2,9,0,0,0,0,0,36,30,14
"BE20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,1,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,6,0,0,2,0,0,0,14,0
