"unique_ter_id","transect","nvisits","sp_name","sp_english","sp_code","pop_den","imperv","tcd","light","noise","veg_pca1","veg_pca2","ndvi","glcm","glcm_hmg"
"BE10_T_10_Cocorn","be10",3,"Corvus corone","Hooded Crow","Cocorn",155.542609035969,59.0504866504669,15.92,19.0605766296387,48.3394202041626,-555.478491396904,1569.37122600555,0.177532372031419,0.590251561850309,0.357146130017936
"BE10_T_10_Copalu","be10",4,"Columba palumbus","Common Wood Pigeon","Copalu",156.990029230714,61.0765454483032,8.62,20.2989635467529,50.1430781555176,1.50530247688293,1614.60211322188,0.148494197820837,0.569396874457598,0.422792711481452
"BE10_T_10_Pamajo","be10",2,"Parus major","Great Tit","Pamajo",217.780732348561,68.0343577003479,6.61,20.0984292984009,50.0159656524658,82.1419134366512,2015.8486844492,0.0966633078742598,0.534506248906255,0.591367176920176
"BE10_T_10_Tumeru","be10",1,"Turdus merula","Common Blackbird","Tumeru",255.893417775631,59.5790124893188,8.15,17.6067804336548,46.4988954544067,35.1641020353604,1359.1349389863,0.161836695512611,0.58142812423408,0.414098277501762
"BE10_T_11_Copalu","be10",3,"Columba palumbus","Common Wood Pigeon","Copalu",144.949006779119,79.0147761106491,4.72,18.2137683868408,64.5490965652466,-587.099846759438,2486.97895219803,0.0429906004455552,0.500262499153614,0.504060387611389
"BE10_T_11_Tumeru","be10",3,"Turdus merula","Common Blackbird","Tumeru",281.412926971912,55.5342319297791,6.46,17.822473526001,45.0464172363281,-504.007450999022,1427.38247779846,0.182313045455958,0.586131249368191,0.430431487597525
"BE10_T_12_Copalu","be10",2,"Columba palumbus","Common Wood Pigeon","Copalu",170.242585476488,46.6383469986916,17.07,18.2349853515625,55.6221088409424,-597.184616526514,979.597514784336,0.253675092735066,0.636481250375509,0.263887289129198
"BE10_T_12_Tumeru","be10",2,"Turdus merula","Common Blackbird","Tumeru",219.204006679356,64.5592867851257,4.18,18.5752744674683,45.3288627243042,-453.946051112413,1536.23510448471,0.157251218197562,0.573025000914931,0.411191021874547
"BE10_T_13_Copalu","be10",2,"Columba palumbus","Common Wood Pigeon","Copalu",202.267180368304,56.5813012266159,8.38,19.0605766296387,50.0400730895996,-11.2876847463846,1400.44234841347,0.188781693772762,0.596507813483477,0.334442190676928
"BE10_T_13_Tumeru","be10",4,"Turdus merula","Common Blackbird","Tumeru",219.204006679356,64.5592867851257,4.18,18.5752744674683,45.3288627243042,-453.946051112413,1536.23510448471,0.157251218197562,0.573025000914931,0.411191021874547
"BE10_T_14_Copalu","be10",3,"Columba palumbus","Common Wood Pigeon","Copalu",202.851051539183,93.9769329452515,0,20.2989635467529,48.5337603759766,-818.642606289387,3281.73619522095,-0.0725434570571088,0.4284375,0.618915714584291
"BE10_T_14_Tumeru","be10",4,"Turdus merula","Common Blackbird","Tumeru",35.3609321117401,46.2987271881103,15.05,18.5752744674683,48.4992353820801,-66.4635858082771,391.353116590381,0.261902131342358,0.633850000277162,0.466657361015677
"BE10_T_15_Copalu","be10",2,"Columba palumbus","Common Wood Pigeon","Copalu",242.098130378872,72.4811504936218,4.19,20.2989635467529,50.7393816375732,-618.50538143158,2018.24936276436,0.11268509262125,0.546040624305606,0.419321678727865
"BE10_T_15_Tumeru","be10",1,"Turdus merula","Common Blackbird","Tumeru",258.230143051594,54.7380455684662,8.11,17.822473526001,44.5930040359497,-441.706760257483,1287.98338300109,0.199144989401648,0.604178125858307,0.4055300578475
"BE10_T_16_Copalu","be10",3,"Columba palumbus","Common Wood Pigeon","Copalu",218.165256237611,84.4319138908386,1.74,20.5917140960693,63.9899416732788,-589.283921632916,2680.65388413429,0.0143412286155217,0.486425000727177,0.435598823316395
"BE10_T_16_Tumeru","be10",3,"Turdus merula","Common Blackbird","Tumeru",199.046923112124,70.2360040664673,1.58,19.6744680404663,45.7770087814331,-402.666570246518,1637.09272345543,0.150422459586407,0.570624998286366,0.46778931196779
"BE10_T_17_Copalu","be10",2,"Columba palumbus","Common Wood Pigeon","Copalu",221.479705870152,67.9560965061188,4.19,21.2364778518677,51.458978767395,-357.633258945942,1869.88973726392,0.138300453245902,0.562734373956919,0.305334276258945
"BE10_T_17_Tumeru","be10",3,"Turdus merula","Common Blackbird","Tumeru",131.843004602939,79.0008835220337,2.17,23.6124366760254,51.1321236801147,406.864491204023,2171.66412063122,0.0755787048500497,0.516995312944055,0.538901723250747
"BE10_T_18_Copalu","be10",2,"Columba palumbus","Common Wood Pigeon","Copalu",157.655659405515,81.8292863988876,1.72,22.7179489135742,63.1189978790283,-101.156543019414,2594.54021372557,0.0265928542714028,0.492099999859929,0.466768123172224
"BE10_T_18_Tumeru","be10",2,"Turdus merula","Common Blackbird","Tumeru",219.61688695848,61.4686344432831,12.17,22.7179489135742,52.6940816879272,-875.400337384045,1888.96102769196,0.152438644906542,0.569220313802361,0.304651162102819
"BE10_T_19_Tumeru","be10",1,"Turdus merula","Common Blackbird","Tumeru",221.479705870152,67.9560965061188,4.19,21.2364778518677,51.458978767395,-357.633258945942,1869.88973726392,0.138300453245902,0.562734373956919,0.305334276258945
"BE10_T_1_Cacard","be10",1,"Carduelis carduelis","European Goldfinch","Cacard",221.479705870152,67.9560965061188,4.19,21.2364778518677,51.458978767395,-357.633258945942,1869.88973726392,0.138300453245902,0.562734373956919,0.305334276258945
